date,Nikki,,
2021/2/5,夜、夫と将来の話をした。夫は支えてくれるって言ってくれて、心強い。でも、私自身の母親としての役割について、まだ自信が持てないでいる。みんなはどうやって準備してるんだろう。,,
2021/2/7,夫と一緒に将来の子育て方針について話し合った。二人の意見が意外と一致していて、安心した。でも、実際に育児が始まったら、どんな未知の困難が待っているんだろう。夫と力を合わせて、どんな時も支え合いたい。,,
2023/1/30,土曜日は家族で公園に行き、秋晴れの下、ピクニックを楽しんだ。日曜日は子供たちと一緒に料理をしたり、絵を描いたりして過ごす。週末は仕事や勉強から少し離れて、心をリセットする大切な時間。,,
2023/2/10,土曜日は家族で近郊の美術館へ。子供たちとアートに触れる時間は、いつも新鮮な気持ちにさせてくれる。日曜日は、ゆっくりとした朝食を家族で楽しんだ後、公園でサッカーをして遊ぶ。週末は、家族との絆を深める貴重な時間。,,
2021/2/10,"提案通り、週末は午前中に軽くお出かけして、午後からは家でのんびり。夫と一緒に過ごす時間が、とても心地よかった。喧嘩のことをきっかけに、お互いの大切さを再確認できたみたい。

夫が「喧嘩もするけど、それを乗り越えられるのが僕たちの強みだね」と言ってくれた時、本当にそう思った。喧嘩をしても、それを乗り越えて、さらに強く結ばれる。そんな夫婦でいられることに感謝してる。",,
2024/1/29,朝早くから、海外のクライアントとの電話会議。時差の関係で朝のスケジュールがタイトになるが、無事に対応できた。午後は大学院の課題研究のための文献調査。図書館で貴重な資料をいくつか見つけることができた。,,
2024/2/4,朝早くから、海外のクライアントとの電話会議。時差の関係で朝のスケジュールがタイトになるが、無事に対応できた。午後は大学院の課題研究のための文献調査。図書館で貴重な資料をいくつか見つけることができた。,,
2021/1/29,朝から長めのジョギング。最近、健康のために始めたんだけど、気持ちいい！途中で見かけた公園で子供たちが遊んでるのを見て、いつか自分たちも…って妄想しちゃった。,,
2023/2/2,朝から大学院のクラスメートとのグループワーク。プロジェクトの進行状況を共有し、次のアクションプランを立てた。仕事では、新しい投資戦略の提案準備に追われる。息子が保育園から帰ってきてからは、一緒にブロックで遊び、楽しい時間を過ごした。,,
2022/2/5,朝からバタバタで子どもたち送って、UBSへ。今日はプレゼン準備でてんやわんや。データチェックで小ミス発見。ピンチをチャンスに変えた感じ。夜の講義でリーダーシップ学んだけど、マジで目から鱗。短い勉強時間だけど、ガッツリ頭に入れた！,,
2021/2/4,朝からつわりがひどくて、大変だった。仕事を休むわけにもいかず、なんとか頑張って出勤。仕事中もずっと心配事が頭をよぎる。私、ちゃんとママになれるのかな。,,
2022/2/2,朝、子供を保育園に送ってから、ちょっとだけ大学院の資料をネットで調べた。仕事の合間にもリサーチ。経営管理かマーケティング、どっちにしようかな。選択肢が多くて、わくわくするけど迷うなあ。,,
2024/1/27,朝、子供たちを学校と保育園に送り出してから、いつものようにUBS証券へ。今日は新しいクライアントとの打ち合わせがあり、プレゼンテーションにかなりの時間を費やした。成果は上々で、チームからも好評を得られた。夜は大学院の講義がオンラインであり、経営戦略についての議論が活発だった。子供たちが寝た後、少しの時間を見つけて学習にあてる。,,
2024/1/30,大学院のグループワークでトラブル。納期守れなかったメンバーいて、ちょっとイラッときたけど、話し合いで解決。チームワークの大切さ、再認識したな。,,
2024/2/6,大学院のグループワークで、あるメンバーが納期守れず…。マジで腹立ったけど、みんなで話し合って解決。チームワークって大事だなって改めて思った。,,
2024/2/9,大学院のグループワークで、あるメンバーが納期守れず…。マジで腹立ったけど、みんなで話し合って解決。チームワークって大事だなって改めて思った。,,
2022/1/30,大学院のグループワークで、あるメンバーが納期守れず…。マジで腹立ったけど、みんなで話し合って解決。チームワークって大事だなって改めて思った。,,
2023/1/27,大学院のグループワークで、あるメンバーが納期守れず…。マジで腹立ったけど、みんなで話し合って解決。チームワークって大事だなって改めて思った。,,
2022/2/3,息子が初めて自分の名前を書けた！マジで感動。小さいことかもしれないけど、こういうのってすごく大事。家族っていいなあ。,,
